,0
407,120740
408,120750
409,120760
410,120791
411,120792
412,120799
413,120810
414,120890
415,120911
416,120919
417,120921
418,120922
419,120923
420,120924
421,120925
422,120926
423,120929
424,120930
425,120991
426,120999
427,121010
428,121020
429,121110
430,121120
431,121190
432,121210
433,121220
434,121230
435,121291
436,121292
437,121299
438,121300
439,121410
440,121490
441,130110
442,130120
443,130190
444,130211
445,130212
446,130213
447,130214
448,130219
449,130220
450,130231
451,130232
452,130239
453,140110
454,140120
455,140190
456,140210
457,140291
458,140299
459,140310
460,140390
461,140410
462,140420
463,140490
464,150100
465,150200
466,150300
467,150410
468,150420
469,150430
470,150510
471,150590
472,150600
473,150710
474,150790
475,150810
476,150890
477,150910
478,150990
479,151000
480,151110
481,151190
482,151211
483,151219
484,151221
485,151229
486,151311
487,151319
488,151321
489,151329
490,151410
491,151490
492,151511
493,151519
494,151521
495,151529
496,151530
497,151540
498,151550
499,151560
500,151590
501,151610
502,151620
503,151710
504,151790
505,151800
506,151911
507,151912
508,151913
509,151919
510,151920
511,151930
512,152010
513,152090
514,152110
515,152190
516,152200
517,160100
518,160210
519,160220
520,160231
521,160239
522,160241
523,160242
524,160249
525,160250
526,160290
527,160300
528,160411
529,160412
530,160413
531,160414
532,160415
533,160416
534,160419
535,160420
536,160430
537,160510
538,160520
539,160530
540,160540
541,160590
542,170111
543,170112
544,170191
545,170199
546,170210
547,170220
548,170230
549,170240
550,170250
551,170260
552,170290
553,170310
554,170390
555,170410
556,170490
557,180100
558,180200
559,180310
560,180320
561,180400
562,180500
563,180610
564,180620
565,180631
566,180632
567,180690
568,190110
569,190120
570,190190
571,190211
572,190219
573,190220
574,190230
575,190240
576,190300
577,190410
578,190490
579,190510
580,190520
581,190530
582,190540
583,190590
584,200110
585,200120
586,200190
587,200210
588,200290
589,200310
590,200320
591,200410
592,200490
593,200510
594,200520
595,200530
596,200540
597,200551
598,200559
599,200560
600,200570
601,200580
602,200590
603,200600
604,200710
605,200791
606,200799
607,200811
608,200819
609,200820
610,200830
611,200840
612,200850
613,200860
614,200870
615,200880
616,200891
617,200892
618,200899
619,200911
620,200919
621,200920
622,200930
623,200940
624,200950
625,200960
626,200970
627,200980
628,200990
629,210110
630,210120
631,210130
632,210210
633,210220
634,210230
635,210310
636,210320
637,210330
638,210390
639,210410
640,210420
641,210500
642,210610
643,210690
644,220110
645,220190
646,220210
647,220290
648,220300
649,220410
650,220421
651,220429
652,220430
653,220510
654,220590
655,220600
656,220710
657,220720
658,220810
659,220820
660,220830
661,220840
662,220850
663,220890
664,220900
665,230110
666,230120
667,230210
668,230220
669,230230
670,230240
671,230250
672,230310
673,230320
674,230330
675,230400
676,230500
677,230610
678,230620
679,230630
680,230640
681,230650
682,230660
683,230690
684,230700
685,230810
686,230890
687,230910
688,230990
689,240110
690,240120
691,240130
692,240210
693,240220
694,240290
695,240310
696,240391
697,240399
698,250100
699,250200
700,250310
701,250390
702,250410
703,250490
704,250510
705,250590
706,250610
707,250621
708,250629
709,250700
710,250810
711,250820
712,250830
713,250840
714,250850
715,250860
716,250870
717,250900
718,251010
719,251020
720,251110
721,251120
722,251200
723,251311
724,251319
725,251321
726,251329
727,251400
728,251511
729,251512
730,251520
731,251611
732,251612
733,251621
734,251622
735,251690
736,251710
737,251720
738,251730
739,251741
740,251749
741,251810
742,251820
743,251830
744,251910
745,251990
746,252010
747,252020
748,252100
749,252210
750,252220
751,252230
752,252310
753,252321
754,252329
755,252330
756,252390
757,252400
758,252510
759,252520
760,252530
761,252610
762,252620
763,252700
764,252810
765,252890
766,252910
767,252921
768,252922
769,252930
770,253010
771,253020
772,253030
773,253040
774,253090
775,260111
776,260112
777,260120
778,260200
779,260300
780,260400
781,260500
782,260600
783,260700
784,260800
785,260900
786,261000
787,261100
788,261210
789,261220
790,261310
791,261390
792,261400
793,261510
794,261590
795,261610
796,261690
797,261710
798,261790
799,261800
800,261900
801,262011
802,262019
803,262020
804,262030
805,262040
806,262050
807,262090
808,262100
809,270111
810,270112
811,270119
812,270120
813,270210
814,270220
815,270300
816,270400
817,270500
818,270600
819,270710
820,270720
821,270730
822,270740
823,270750
824,270760
825,270791
826,270799
827,270810
828,270820
829,270900
830,271000
831,271011
832,271012
833,271013
834,271014
835,271015
836,271016
837,271019
838,271021
839,271022
840,271025
841,271026
842,271027
843,271029
844,271091
845,271093
846,271094
847,271095
848,271096
849,271099
850,271111
851,271112
852,271113
853,271114
854,271119
855,271121
856,271129
857,271210
858,271220
859,271290
860,271311
861,271312
862,271320
863,271390
864,271410
865,271490
866,271500
867,271600
868,280110
869,280120
870,280130
871,280200
872,280300
873,280410
874,280421
