id;label;category;section
10111;Horses, pure-bred;1;Agriculture
10119;Horses, not pure-bred;1;Agriculture
10120;Other equine;1;Agriculture
10210;Bovine, pure-bred;1;Agriculture
10290;Bovine, not pure-bred;1;Agriculture
10310;Swine, pure-bred;1;Agriculture
10391;Swine < 50 kg, not pure-bred;1;Agriculture
10392;Swine > 50 kg, not pure-bred;1;Agriculture
10410;Sheep;1;Agriculture
10420;Goats;1;Agriculture
10511;Domestic fowls < 185 g;1;Agriculture
10519;Other poultry < 185 g;1;Agriculture
10591;Domestic fowls > 185 g;1;Agriculture
10599;Other poultry > 185 g;1;Agriculture
10600;Non-farm animals;1;Agriculture
20110;Bovine carcasses;1;Agriculture
20120;Bone-in beef;1;Agriculture
20130;Boneless beef;1;Agriculture
20210;Bovine carcasses, frozen;1;Agriculture
20220;Bone-in beef, frozen;1;Agriculture
20230;Boneless beef, frozen;1;Agriculture
20311;Swine carcasses;1;Agriculture
20312;Ham and pork shoulder;1;Agriculture
20319;Other pork;1;Agriculture
20321;Swine carcasses, frozen;1;Agriculture
20322;Ham and pork shoulder, frozen;1;Agriculture
20329;Other pork, frozen;1;Agriculture
20410;Lamb carcasses;1;Agriculture
20421;Sheep carcasses;1;Agriculture
20422;Mutton, bone-in;1;Agriculture
20423;Mutton, boneless;1;Agriculture
20430;Lamb carcasses, frozen;1;Agriculture
20441;Sheep carcasses, frozen;1;Agriculture
20442;Mutton, bone-in, frozen;1;Agriculture
20443;Mutton, boneless, frozen;1;Agriculture
20450;Goat meat;1;Agriculture
20500;Horse meat;1;Agriculture
20610;Bovine offal;1;Agriculture
20621;Bovine tongue, frozen;1;Agriculture
20622;Bovine livers, frozen;1;Agriculture
20629;Bovine offal, frozen;1;Agriculture
20630;Swine offal;1;Agriculture
20641;Swine livers, frozen;1;Agriculture
20649;Swine offal, frozen;1;Agriculture
20680;Sheep and equine offal;1;Agriculture
20690;Sheep & equine offal, frozen;1;Agriculture
20710;Whole poultry;1;Agriculture
20721;Whole domestic fowls, frozen;1;Agriculture
20722;Whole turkey, frozen;1;Agriculture
20723;Whole duck, frozen;1;Agriculture
20731;Fatty livers of geese, ducks;1;Agriculture
20739;Other poultry meat;1;Agriculture
20741;Domestic fowl meat, frozen;1;Agriculture
20742;Turkey meat, frozen;1;Agriculture
20743;Duck meat, frozen;1;Agriculture
20750;Poultry livers, frozen;1;Agriculture
20810;Rabbit meat and offal;1;Agriculture
20820;Frog legs;1;Agriculture
20890;Meat and offal, nes;1;Agriculture
20900;Pig and poultry fat;1;Agriculture
21011;Cured pork shoulders and ham;1;Agriculture
21012;Cured swine bellies;1;Agriculture
21019;Cured pork;1;Agriculture
21020;Cured beef;1;Agriculture
21090;Cured meat and offal;1;Agriculture
30110;Live ornamental fish;1;Agriculture
30191;Live trout;1;Agriculture
30192;Live eels;1;Agriculture
30193;Live carp;1;Agriculture
30199;Other live fish;1;Agriculture
30211;Trout;1;Agriculture
30212;Salmon;1;Agriculture
30219;Salmonids, nes;1;Agriculture
30221;Halibut;1;Agriculture
30222;Pollock;1;Agriculture
30223;Sole;1;Agriculture
30229;Flatfish;1;Agriculture
30231;Albacore;1;Agriculture
30232;Yellowfin tuna;1;Agriculture
30233;Bonito;1;Agriculture
30239;Tuna, nes;1;Agriculture
30240;Herring;1;Agriculture
30250;Cod;1;Agriculture
30261;Sardines;1;Agriculture
30262;Haddock;1;Agriculture
30263;Coalfish;1;Agriculture
30264;Mackerel;1;Agriculture
30265;Shark;1;Agriculture
30266;Eels;1;Agriculture
30269;Whole fish, nes;1;Agriculture
30270;Fish roes and livers;1;Agriculture
30310;Pacific salmon, frozen;1;Agriculture
30321;Trout, frozen;1;Agriculture
30322;Atlantic salmon, frozen;1;Agriculture
30329;Salmonids, frozen, nes;1;Agriculture
30331;Halibut, frozen;1;Agriculture
30332;Plaice, frozen;1;Agriculture
30333;Sole, frozen;1;Agriculture
30339;Flatfish, frozen;1;Agriculture
30341;Albacore, frozen;1;Agriculture
30342;Yellowfin tuna, frozen;1;Agriculture
30343;Bonito, frozen;1;Agriculture
30349;Tuna, frozen, nes;1;Agriculture
30350;Herring, frozen;1;Agriculture
30360;Cod, frozen;1;Agriculture
30371;Sardines, frozen;1;Agriculture
30372;Haddock, frozen;1;Agriculture
30373;Pollock, frozen;1;Agriculture
30374;Mackerel, frozen;1;Agriculture
30375;Sharks, frozen;1;Agriculture
30376;Eels, frozen;1;Agriculture
30377;Sea bass, frozen;1;Agriculture
30378;Hake, frozen;1;Agriculture
30379;Whole fish, frozen, nes;1;Agriculture
30380;Fish roes & livers, frozen;1;Agriculture
30410;Fish meat, not liver or roe;1;Agriculture
30420;Fish fillets, frozen;1;Agriculture
30490;Other fish meat, frozen;1;Agriculture
30510;Fish flours, meals, and pellets;1;Agriculture
30520;Dried/smoked/salted livers and roes;1;Agriculture
30530;Dried/salted fish fillets;1;Agriculture
30541;Smoked salmon;1;Agriculture
30542;Smoked herrings;1;Agriculture
30549;Other smoked fish;1;Agriculture
30551;Dried cod;1;Agriculture
30559;Dried fish, not cod;1;Agriculture
30561;Salted herrings;1;Agriculture
30562;Salted cod;1;Agriculture
30563;Salted anchovies;1;Agriculture
30569;Salted fish, nes;1;Agriculture
30611;Crawfish, frozen;1;Agriculture
30612;Lobsters, frozen;1;Agriculture
30613;Shrimps, frozen;1;Agriculture
30614;Crabs, frozen;1;Agriculture
30619;Crustaceans, frozen, nes;1;Agriculture
30621;Crawfish;1;Agriculture
30622;Lobsters;1;Agriculture
30623;Shrimps;1;Agriculture
30624;Crabs;1;Agriculture
30629;Crustaceans, nes;1;Agriculture
30710;Oysters;1;Agriculture
30721;Live scallops;1;Agriculture
30729;Scallops, not live;1;Agriculture
30731;Mussels;1;Agriculture
30739;Mussels (frozen/salted/dried);1;Agriculture
30741;Squid;1;Agriculture
30749;Squid (frozen/salted/dried);1;Agriculture
30751;Octopus;1;Agriculture
30759;Octopus (frozen/salted/dried);1;Agriculture
30760;Snails;1;Agriculture
30791;Aquatic invertebrates, nes;1;Agriculture
30799;Aquatic invertebrates, nes (frozen/preserved);1;Agriculture
40110;Milk, <1% fat;1;Agriculture
40120;Milk, 1-6% fat;1;Agriculture
40130;Milk and cream, >6% fat;1;Agriculture
40210;Milk powder, <1.5% fat;1;Agriculture
40221;Unsweetened milk powder, >1.5% fat;1;Agriculture
40229;Sweetened milk powder, >1.5% fat;1;Agriculture
40291;Concentrated unsweetened milk;1;Agriculture
40299;Other milk and cream;1;Agriculture
40310;Yogurt;1;Agriculture
40390;Buttermilk, cream;1;Agriculture
40410;Whey;1;Agriculture
40490;Natural milk products;1;Agriculture
40500;Butter, milk fats & oils;1;Agriculture
40610;Fresh cheese, curd;1;Agriculture
40620;Cheese, grated or powdered;1;Agriculture
40630;Cheese processed;1;Agriculture
40640;Cheese, blue-veined;1;Agriculture
40690;Cheese not fresh or processed;1;Agriculture
40700;Eggs, in shell;1;Agriculture
40811;Egg yolks, dried;1;Agriculture
40819;Egg yolks, not dried;1;Agriculture
40891;Eggs, dried;1;Agriculture
40899;Eggs, not in shell not dried;1;Agriculture
40900;Honey;1;Agriculture
41000;Other edible animal products;1;Agriculture
50100;Human hair;1;Agriculture
50210;Bristles, hair & waste of pigs;1;Agriculture
50290;Hair & waste of badger;1;Agriculture
50300;Horsehair, waste;1;Agriculture
50400;Animal guts and stomachs;1;Agriculture
50510;Feathers for stuffing;1;Agriculture
50590;Feathers, not for stuffing;1;Agriculture
50610;Ossein & bones treated with acid;1;Agriculture
50690;Bones, simply or unworked nes;1;Agriculture
50710;Ivory;1;Agriculture
50790;Whalebone & horns;1;Agriculture
50800;Seashells, coral, etc.;1;Agriculture
50900;Natural sponges;1;Agriculture
51000;Ambergris, civet, pharmaceutic use;1;Agriculture
51110;Bovine semen;1;Agriculture
51191;Non-food fish and crustaceans;1;Agriculture
51199;Non-food animal products;1;Agriculture
60110;Bulbs and others, dormant;1;Agriculture
60120;Bulbs and others, in growth;1;Agriculture
60210;Plant cuttings;1;Agriculture
60220;Fruit or nut trees, shrubs;1;Agriculture
60230;Rhododendrons and azaleas;1;Agriculture
60240;Roses;1;Agriculture
60291;Mushroom spawn;1;Agriculture
60299;Live plants, nes;1;Agriculture
60310;Flowers for bouquets (fresh);1;Agriculture
60390;Flowers for bouquets (dried);1;Agriculture
60410;Ornamental mosses;1;Agriculture
60491;Foliage for bouquets (fresh);1;Agriculture
60499;Foliage for bouquets (not fresh);1;Agriculture
70110;Potato seeds;1;Agriculture
70190;Potatoes;1;Agriculture
70200;Tomatoes;1;Agriculture
70310;Onions and shallots;1;Agriculture
70320;Garlic;1;Agriculture
70390;Leeks;1;Agriculture
70410;Cauliflowers and broccoli;1;Agriculture
70420;Brussle sprouts;1;Agriculture
70490;Cabbages, nes;1;Agriculture
70511;Cabbage lettuce;1;Agriculture
70519;Lettuce;1;Agriculture
70521;Witloof chicory;1;Agriculture
70529;Chicory;1;Agriculture
70610;Carrots and turnips;1;Agriculture
70690;Beetroot, radishes, etc.;1;Agriculture
70700;Cucumbers;1;Agriculture
70810;Peas;1;Agriculture
70820;Beans;1;Agriculture
70890;Other legumes;1;Agriculture
70910;Artichokes;1;Agriculture
70920;Asparagus;1;Agriculture
70930;Eggplants;1;Agriculture
70940;Celery;1;Agriculture
70951;Mushrooms;1;Agriculture
70952;Truffles;1;Agriculture
70960;Peppers;1;Agriculture
70970;Spinach;1;Agriculture
70990;Vegetables, nes;1;Agriculture
71010;Potatoes, frozen;1;Agriculture
71021;Peas, frozen;1;Agriculture
71022;Beans, frozen;1;Agriculture
71029;Other legumes, frozen;1;Agriculture
71030;Spinach, frozen;1;Agriculture
71040;Sweet corn, frozen;1;Agriculture
71080;Vegetables nes, frozen;1;Agriculture
71090;Vegetable mixtures, frozen;1;Agriculture
71110;Preserved onions;1;Agriculture
71120;Preserved olives;1;Agriculture
71130;Preserved capers;1;Agriculture
71140;Preserved cucumbers;1;Agriculture
71190;Preserved vegetables, nes;1;Agriculture
71210;Potatoes, dried;1;Agriculture
71220;Onions, dried;1;Agriculture
71230;Mushrooms and truffles, dried;1;Agriculture
71290;Vegetables, nes, dried;1;Agriculture
71310;Peas, dried;1;Agriculture
71320;Chickpeas, dried;1;Agriculture
71331;Black or green gram beans, dried;1;Agriculture
71332;Adzuki beans, dried;1;Agriculture
71333;Kidney beans, dried;1;Agriculture
71339;Beans nes, dried;1;Agriculture
71340;Lentils, dried;1;Agriculture
71350;Broad beans, dried;1;Agriculture
71390;Leguminous vegetables, dried;1;Agriculture
71410;Manioc (cassava);1;Agriculture
71420;Sweet potatoes;1;Agriculture
71490;Arrowroot, salep;1;Agriculture
80110;Coconuts;1;Agriculture
80120;Brazil nuts;1;Agriculture
80130;Cashew nuts;1;Agriculture
80211;Almonds, in shell;1;Agriculture
