id,label,category,section,weight
10111,"Horses, pure-bred",1,Agriculture,0.8206804394721985
10119,"Horses, not pure-bred",1,Agriculture,0.9285150170326233
10120,Other equine,1,Agriculture,0.09803497791290283
10210,"Bovine, pure-bred",1,Agriculture,0.9581188559532166
10290,"Bovine, not pure-bred",1,Agriculture,0.9582136869430542
10310,"Swine, pure-bred",1,Agriculture,0.9569728970527649
10391,"Swine < 50 kg, not pure-bred",1,Agriculture,0.24266983568668365
10392,"Swine > 50 kg, not pure-bred",1,Agriculture,0.958488404750824
10410,Sheep,1,Agriculture,0.7715986371040344
10420,Goats,1,Agriculture,0.957952618598938
10511,Domestic fowls < 185 g,1,Agriculture,0.9039756655693054
10519,Other poultry < 185 g,1,Agriculture,0.9389393329620361
10591,Domestic fowls > 185 g,1,Agriculture,0.957139253616333
10599,Other poultry > 185 g,1,Agriculture,0.9583950042724609
10600,Non-farm animals,1,Agriculture,0.7535349130630493
20110,Bovine carcasses,1,Agriculture,0.7752318382263184
20120,Bone-in beef,1,Agriculture,0.838113009929657
20130,Boneless beef,1,Agriculture,0.37205904722213745
20210,"Bovine carcasses, frozen",1,Agriculture,0.4074011743068695
20220,"Bone-in beef, frozen",1,Agriculture,0.4280804395675659
20230,"Boneless beef, frozen",1,Agriculture,0.2755000591278076
20311,Swine carcasses,1,Agriculture,0.9572060704231262
20312,Ham and pork shoulder,1,Agriculture,0.7501165866851807
20319,Other pork,1,Agriculture,0.45070379972457886
20321,"Swine carcasses, frozen",1,Agriculture,0.6505263447761536
20322,"Ham and pork shoulder, frozen",1,Agriculture,0.9564886689186096
20329,"Other pork, frozen",1,Agriculture,0.914800226688385
20410,Lamb carcasses,1,Agriculture,0.11486367881298065
20421,Sheep carcasses,1,Agriculture,0.20932170748710632
20422,"Mutton, bone-in",1,Agriculture,0.24843907356262207
20423,"Mutton, boneless",1,Agriculture,0.22452497482299805
20430,"Lamb carcasses, frozen",1,Agriculture,0.36750951409339905
20441,"Sheep carcasses, frozen",1,Agriculture,0.3889797627925873
